ï..station_id	stationname	date	daytype	rides	lat	long
41460	Irving Park-Brown	12/7/2017	W	3459	41.954521	-87.674868
41460	Irving Park-Brown	12/24/2017	U	460	41.954521	-87.674868
41460	Irving Park-Brown	12/27/2017	W	1608	41.954521	-87.674868
41460	Irving Park-Brown	12/23/2017	A	1018	41.954521	-87.674868
41460	Irving Park-Brown	12/4/2017	W	3312	41.954521	-87.674868
41460	Irving Park-Brown	12/16/2017	A	1793	41.954521	-87.674868
41460	Irving Park-Brown	12/2/2017	A	1995	41.954521	-87.674868
41460	Irving Park-Brown	12/13/2017	W	3481	41.954521	-87.674868
41460	Irving Park-Brown	12/3/2017	U	1166	41.954521	-87.674868
41460	Irving Park-Brown	12/28/2017	W	1908	41.954521	-87.674868
41460	Irving Park-Brown	12/5/2017	W	3347	41.954521	-87.674868
41460	Irving Park-Brown	12/22/2017	W	2602	41.954521	-87.674868
41460	Irving Park-Brown	12/20/2017	W	3237	41.954521	-87.674868
41460	Irving Park-Brown	12/8/2017	W	3440	41.954521	-87.674868
41460	Irving Park-Brown	12/29/2017	W	1809	41.954521	-87.674868
41460	Irving Park-Brown	12/26/2017	W	1019	41.954521	-87.674868
41460	Irving Park-Brown	12/11/2017	W	3274	41.954521	-87.674868
41460	Irving Park-Brown	12/14/2017	W	3414	41.954521	-87.674868
41460	Irving Park-Brown	12/1/2017	W	3579	41.954521	-87.674868
41460	Irving Park-Brown	12/15/2017	W	3199	41.954521	-87.674868
41460	Irving Park-Brown	12/10/2017	U	1122	41.954521	-87.674868
41460	Irving Park-Brown	12/18/2017	W	3158	41.954521	-87.674868
41460	Irving Park-Brown	12/21/2017	W	3020	41.954521	-87.674868
41460	Irving Park-Brown	12/17/2017	U	1153	41.954521	-87.674868
41460	Irving Park-Brown	12/12/2017	W	3400	41.954521	-87.674868
41460	Irving Park-Brown	12/6/2017	W	3492	41.954521	-87.674868
41460	Irving Park-Brown	12/9/2017	A	1724	41.954521	-87.674868
41460	Irving Park-Brown	12/31/2017	U	847	41.954521	-87.674868
41460	Irving Park-Brown	12/19/2017	W	3300	41.954521	-87.674868
41460	Irving Park-Brown	12/30/2017	A	954	41.954521	-87.674868
41460	Irving Park-Brown	12/25/2017	U	224	41.954521	-87.674868
41460	Irving Park-Brown	1/20/2018	A	2015	41.954521	-87.674868
41460	Irving Park-Brown	1/7/2018	U	906	41.954521	-87.674868
41460	Irving Park-Brown	3/17/2018	A	2659	41.954521	-87.674868
41460	Irving Park-Brown	1/6/2018	A	1265	41.954521	-87.674868
41460	Irving Park-Brown	3/1/2018	W	3212	41.954521	-87.674868
41460	Irving Park-Brown	3/26/2018	W	2935	41.954521	-87.674868
41460	Irving Park-Brown	1/30/2018	W	3398	41.954521	-87.674868
41460	Irving Park-Brown	3/2/2018	W	3302	41.954521	-87.674868
41460	Irving Park-Brown	3/8/2018	W	3351	41.954521	-87.674868
41460	Irving Park-Brown	2/2/2018	W	2888	41.954521	-87.674868
41460	Irving Park-Brown	1/24/2018	W	3338	41.954521	-87.674868
41460	Irving Park-Brown	2/5/2018	W	3096	41.954521	-87.674868
41460	Irving Park-Brown	2/19/2018	W	2269	41.954521	-87.674868
41460	Irving Park-Brown	2/27/2018	W	3352	41.954521	-87.674868
41460	Irving Park-Brown	2/16/2018	W	3195	41.954521	-87.674868
41460	Irving Park-Brown	2/11/2018	U	1070	41.954521	-87.674868
41460	Irving Park-Brown	3/31/2018	A	1301	41.954521	-87.674868
41460	Irving Park-Brown	1/14/2018	U	885	41.954521	-87.674868
41460	Irving Park-Brown	2/9/2018	W	2381	41.954521	-87.674868
41460	Irving Park-Brown	3/5/2018	W	3155	41.954521	-87.674868
41460	Irving Park-Brown	3/23/2018	W	3180	41.954521	-87.674868
41460	Irving Park-Brown	1/25/2018	W	3387	41.954521	-87.674868
41460	Irving Park-Brown	3/3/2018	A	1606	41.954521	-87.674868
41460	Irving Park-Brown	3/6/2018	W	3326	41.954521	-87.674868
41460	Irving Park-Brown	2/26/2018	W	3190	41.954521	-87.674868
41460	Irving Park-Brown	2/12/2018	W	3256	41.954521	-87.674868
41460	Irving Park-Brown	1/1/2018	U	483	41.954521	-87.674868
41460	Irving Park-Brown	3/25/2018	U	1098	41.954521	-87.674868
41460	Irving Park-Brown	3/12/2018	W	3213	41.954521	-87.674868
41460	Irving Park-Brown	1/22/2018	W	3082	41.954521	-87.674868
41460	Irving Park-Brown	3/22/2018	W	3279	41.954521	-87.674868
41460	Irving Park-Brown	3/21/2018	W	3331	41.954521	-87.674868
41460	Irving Park-Brown	3/30/2018	W	2585	41.954521	-87.674868
41460	Irving Park-Brown	2/24/2018	A	1479	41.954521	-87.674868
41460	Irving Park-Brown	1/31/2018	W	3453	41.954521	-87.674868
41460	Irving Park-Brown	2/14/2018	W	3414	41.954521	-87.674868
41460	Irving Park-Brown	1/5/2018	W	2657	41.954521	-87.674868
41460	Irving Park-Brown	2/18/2018	U	1217	41.954521	-87.674868
41460	Irving Park-Brown	3/24/2018	A	1582	41.954521	-87.674868
41460	Irving Park-Brown	1/9/2018	W	3377	41.954521	-87.674868
41460	Irving Park-Brown	1/17/2018	W	3350	41.954521	-87.674868
41460	Irving Park-Brown	3/29/2018	W	3080	41.954521	-87.674868
41460	Irving Park-Brown	2/17/2018	A	1542	41.954521	-87.674868
41460	Irving Park-Brown	1/19/2018	W	3226	41.954521	-87.674868
41460	Irving Park-Brown	3/13/2018	W	3394	41.954521	-87.674868
41460	Irving Park-Brown	1/2/2018	W	2411	41.954521	-87.674868
41460	Irving Park-Brown	2/28/2018	W	3376	41.954521	-87.674868
41460	Irving Park-Brown	3/4/2018	U	1058	41.954521	-87.674868
41460	Irving Park-Brown	2/21/2018	W	3439	41.954521	-87.674868
41460	Irving Park-Brown	2/23/2018	W	3306	41.954521	-87.674868
41460	Irving Park-Brown	2/13/2018	W	3474	41.954521	-87.674868
41460	Irving Park-Brown	1/3/2018	W	2717	41.954521	-87.674868
41460	Irving Park-Brown	2/7/2018	W	3307	41.954521	-87.674868
41460	Irving Park-Brown	2/25/2018	U	1054	41.954521	-87.674868
41460	Irving Park-Brown	1/13/2018	A	1340	41.954521	-87.674868
41460	Irving Park-Brown	1/27/2018	A	1671	41.954521	-87.674868
41460	Irving Park-Brown	3/16/2018	W	3377	41.954521	-87.674868
41460	Irving Park-Brown	3/10/2018	A	1674	41.954521	-87.674868
41460	Irving Park-Brown	2/8/2018	W	3347	41.954521	-87.674868
41460	Irving Park-Brown	3/11/2018	U	1020	41.954521	-87.674868
41460	Irving Park-Brown	1/4/2018	W	2763	41.954521	-87.674868
41460	Irving Park-Brown	2/3/2018	A	1434	41.954521	-87.674868
41460	Irving Park-Brown	2/10/2018	A	1731	41.954521	-87.674868
41460	Irving Park-Brown	3/7/2018	W	3278	41.954521	-87.674868
41460	Irving Park-Brown	1/11/2018	W	3334	41.954521	-87.674868
41460	Irving Park-Brown	3/9/2018	W	3269	41.954521	-87.674868
41460	Irving Park-Brown	1/10/2018	W	3368	41.954521	-87.674868
41460	Irving Park-Brown	2/20/2018	W	3271	41.954521	-87.674868
41460	Irving Park-Brown	2/1/2018	W	3345	41.954521	-87.674868
41460	Irving Park-Brown	3/15/2018	W	3481	41.954521	-87.674868
41460	Irving Park-Brown	3/27/2018	W	2999	41.954521	-87.674868
41460	Irving Park-Brown	3/18/2018	U	1139	41.954521	-87.674868
41460	Irving Park-Brown	2/6/2018	W	3270	41.954521	-87.674868
41460	Irving Park-Brown	3/14/2018	W	3428	41.954521	-87.674868
41460	Irving Park-Brown	3/28/2018	W	3048	41.954521	-87.674868
41460	Irving Park-Brown	3/20/2018	W	3354	41.954521	-87.674868
41460	Irving Park-Brown	1/12/2018	W	3150	41.954521	-87.674868
41460	Irving Park-Brown	3/19/2018	W	3202	41.954521	-87.674868
41460	Irving Park-Brown	1/16/2018	W	3388	41.954521	-87.674868
41460	Irving Park-Brown	2/22/2018	W	3363	41.954521	-87.674868
41460	Irving Park-Brown	1/28/2018	U	964	41.954521	-87.674868
41460	Irving Park-Brown	1/8/2018	W	3175	41.954521	-87.674868
41460	Irving Park-Brown	1/21/2018	U	1011	41.954521	-87.674868
41460	Irving Park-Brown	2/15/2018	W	3458	41.954521	-87.674868
41460	Irving Park-Brown	1/18/2018	W	3394	41.954521	-87.674868
41460	Irving Park-Brown	1/29/2018	W	3236	41.954521	-87.674868
41460	Irving Park-Brown	1/15/2018	W	1945	41.954521	-87.674868
41460	Irving Park-Brown	1/23/2018	W	3353	41.954521	-87.674868
41460	Irving Park-Brown	2/4/2018	U	895	41.954521	-87.674868
41460	Irving Park-Brown	1/26/2018	W	3275	41.954521	-87.674868
41460	Irving Park-Brown	5/17/2018	W	3488	41.954521	-87.674868
41460	Irving Park-Brown	6/23/2018	A	2200	41.954521	-87.674868
41460	Irving Park-Brown	4/11/2018	W	3451	41.954521	-87.674868
41460	Irving Park-Brown	4/5/2018	W	3377	41.954521	-87.674868
41460	Irving Park-Brown	5/30/2018	W	3459	41.954521	-87.674868
41460	Irving Park-Brown	5/21/2018	W	3128	41.954521	-87.674868
41460	Irving Park-Brown	6/17/2018	U	1046	41.954521	-87.674868
41460	Irving Park-Brown	5/31/2018	W	3538	41.954521	-87.674868
41460	Irving Park-Brown	5/16/2018	W	3475	41.954521	-87.674868
41460	Irving Park-Brown	5/9/2018	W	3461	41.954521	-87.674868
41460	Irving Park-Brown	4/23/2018	W	3221	41.954521	-87.674868
41460	Irving Park-Brown	4/27/2018	W	3196	41.954521	-87.674868
41460	Irving Park-Brown	4/2/2018	W	3084	41.954521	-87.674868
41460	Irving Park-Brown	6/5/2018	W	3487	41.954521	-87.674868
41460	Irving Park-Brown	6/13/2018	W	3466	41.954521	-87.674868
41460	Irving Park-Brown	5/3/2018	W	3399	41.954521	-87.674868
41460	Irving Park-Brown	5/28/2018	U	854	41.954521	-87.674868
41460	Irving Park-Brown	4/1/2018	U	676	41.954521	-87.674868
41460	Irving Park-Brown	4/8/2018	U	987	41.954521	-87.674868
41460	Irving Park-Brown	4/12/2018	W	3436	41.954521	-87.674868
41460	Irving Park-Brown	4/16/2018	W	3206	41.954521	-87.674868
41460	Irving Park-Brown	4/14/2018	A	1369	41.954521	-87.674868
41460	Irving Park-Brown	4/28/2018	A	1606	41.954521	-87.674868
41460	Irving Park-Brown	6/22/2018	W	3005	41.954521	-87.674868
41460	Irving Park-Brown	4/25/2018	W	3345	41.954521	-87.674868
41460	Irving Park-Brown	5/12/2018	A	1440	41.954521	-87.674868
41460	Irving Park-Brown	5/27/2018	U	1532	41.954521	-87.674868
41460	Irving Park-Brown	5/10/2018	W	3489	41.954521	-87.674868
41460	Irving Park-Brown	6/20/2018	W	3324	41.954521	-87.674868
41460	Irving Park-Brown	5/5/2018	A	1648	41.954521	-87.674868
41460	Irving Park-Brown	4/26/2018	W	3490	41.954521	-87.674868
41460	Irving Park-Brown	4/6/2018	W	3321	41.954521	-87.674868
41460	Irving Park-Brown	6/11/2018	W	3293	41.954521	-87.674868
41460	Irving Park-Brown	5/11/2018	W	3325	41.954521	-87.674868
41460	Irving Park-Brown	4/21/2018	A	1560	41.954521	-87.674868
41460	Irving Park-Brown	6/6/2018	W	3543	41.954521	-87.674868
41460	Irving Park-Brown	6/29/2018	W	3077	41.954521	-87.674868
41460	Irving Park-Brown	6/19/2018	W	3480	41.954521	-87.674868
41460	Irving Park-Brown	5/8/2018	W	3456	41.954521	-87.674868
41460	Irving Park-Brown	5/29/2018	W	3317	41.954521	-87.674868
41460	Irving Park-Brown	4/20/2018	W	3106	41.954521	-87.674868
41460	Irving Park-Brown	5/23/2018	W	3582	41.954521	-87.674868
41460	Irving Park-Brown	6/10/2018	U	1669	41.954521	-87.674868
41460	Irving Park-Brown	4/3/2018	W	3260	41.954521	-87.674868
41460	Irving Park-Brown	4/7/2018	A	1621	41.954521	-87.674868
41460	Irving Park-Brown	5/22/2018	W	3446	41.954521	-87.674868
41460	Irving Park-Brown	5/4/2018	W	3301	41.954521	-87.674868
41460	Irving Park-Brown	6/16/2018	A	1671	41.954521	-87.674868
41460	Irving Park-Brown	4/17/2018	W	3311	41.954521	-87.674868
41460	Irving Park-Brown	6/24/2018	U	1721	41.954521	-87.674868
41460	Irving Park-Brown	6/2/2018	A	1618	41.954521	-87.674868
41460	Irving Park-Brown	5/18/2018	W	3204	41.954521	-87.674868
41460	Irving Park-Brown	5/24/2018	W	3563	41.954521	-87.674868
41460	Irving Park-Brown	6/1/2018	W	3534	41.954521	-87.674868
